Logger, sanyaapanin:         	Automatically truncated logfile to 1048576, MadelineProto 8.3.1
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821581909638708 sent 55.406615848 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821581909638712 sent 55.406624089 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821581909638716 sent 55.406631702 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821581909638720 sent 55.406639664 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821581909638724 sent 55.406646369 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821581909638728 sent 55.4066544 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821581909638732 sent 55.406661664 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821581909642568 sent 55.406669346 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect updates.getChannelDifference with message ID 7421821581909653600 sent 55.406677029 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect ping_delay_disconnect with message ID 7421895305023250244 sent 5.204873846 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Can't garbage collect msgs_state_req with message ID 7421895305023250248 sent 5.203027871 seconds ago in DC 2, no response has been received or it wasn't yet handled!
Session, sanyaapanin:        	Garbage collected 4 outgoing messages in DC 2, 141 left
MsgIdHandler, sanyaapanin:   	Zend hashmap reallocation done. Cleaned memory: -0.4 Mb
PingLoop, sanyaapanin:       	Ping DC 2.0
AckHandler, sanyaapanin:     	No reply for message: updates.getChannelDifference with message ID 7421821560434641532 sent 60.408997876 seconds ago
AckHandler, sanyaapanin:     	No reply for message: updates.getChannelDifference with message ID 7421821560434658224 sent 60.409024066 seconds ago
AckHandler, sanyaapanin:     	No reply for message: updates.getChannelDifference with message ID 7421821560434669468 sent 60.409032866 seconds ago
AckHandler, sanyaapanin:     	No reply for message: updates.getChannelDifference with message ID 7421821560434680852 sent 60.409041387 seconds ago
AckHandler, sanyaapanin:     	No reply for message: updates.getChannelDifference with message ID 7421821560434691956 sent 60.409049069 seconds ago
AckHandler, sanyaapanin:     	No reply for message: updates.getChannelDifference with message ID 7421821560434702852 sent 60.40905752 seconds ago
AckHandler, sanyaapanin:     	No reply for message: updates.getChannelDifference with message ID 7421821560434714236 sent 60.409068974 seconds ago
AckHandler, sanyaapanin:     	No reply for message: updates.getChannelDifference with message ID 7421821560434725340 sent 60.409080358 seconds ago
AckHandler, sanyaapanin:     	No reply for message: updates.getChannelDifference with message ID 7421821560434737144 sent 60.409107177 seconds ago
AckHandler, sanyaapanin:     	No reply for message: updates.getChannelDifference with message ID 7421821560434748108 sent 60.409115838 seconds ago
AckHandler, sanyaapanin:     	No reply for message: updates.getChannelDifference with message ID 7421821560434760052 sent 60.409124358 seconds ago
AckHandler, sanyaapanin:     	No reply for message: updates.getChannelDifference with message ID 7421821560434771436 sent 60.409132809 seconds ago
AckHandler, sanyaapanin:     	No reply for message: updates.getChannelDifference with message ID 7421821560434782052 sent 60.40914105 seconds ago
AckHandler, sanyaapanin:     	No reply for message: updates.getChannelDifference with message ID 7421821560434793436 sent 60.409149431 seconds ago
